text_id,text,domain,sentiment,source,language
9dc6f2bb-836e-4521-a491-567a6eed8d23,บริการเฉยๆ ยังไม่มีอะไรโดดเด่น,service,Neutral,synthetic_wisesight_like,th
d8f12c30-7c50-43b2-a1ea-21846b74483d,การดูแลไม่โอเคเรย ฟีลแบบ,service,Negative,synthetic_wisesight_like,th
5d52afc7-3f16-4d23-aadd-0ae238c1fa20,ระบบก็โอเคนะ,platform,Neutral,synthetic_wisesight_like,th
149123ce-921d-4d9b-b16c-496182c80424,ประสบการณ์แย่กว่าที่คิด 😒,platform,Negative,synthetic_wisesight_like,th
fd699416-b39f-4975-9d87-8b8ee9b6dd8c,จัดส่งแย่กว่าที่คิด,delivery,Negative,synthetic_wisesight_like,th
590b71bf-eb4c-42a0-942e-2f22ed0004a0,ระบบอยู่ในระดับปกติ,platform,Neutral,synthetic_wisesight_like,th
3a5f00ac-af86-4f0b-b255-ed46e6659f06,ถือว่าการดูแลทำได้ดี,service,Positive,synthetic_wisesight_like,th
2178b6a8-1e7f-4d07-9cf3-d8447209d075,ราคาไม่ได้แย่ แต่ก็ไม่ได้ดีมาก,product,Neutral,synthetic_wisesight_like,th
22a65f27-78b5-46d7-99eb-4dfe797dbb1a,พนักงานโอเคเกินคาด,service,Positive,synthetic_wisesight_like,th
fee375be-0cc3-48da-939f-2de4d85482b5,แอปก็โอเคนะ,platform,Neutral,synthetic_wisesight_like,th
43c5b773-fd23-438e-b078-e9494cae27ed,ความรวดเร็วแย่กว่าที่คิด,delivery,Negative,synthetic_wisesight_like,th
36267ecc-c766-47e9-b420-0c21c8185611,จัดส่งไม่โอเค้เลย 😤,delivery,Negative,synthetic_wisesight_like,th
e7fab381-d169-4333-afec-06c3a368d66a,ชอบการใช้งานแบบนี้,platform,Positive,synthetic_wisesight_like,th
a73cc585-02bb-44e3-8593-9e67c5427969,ราคาควรปรับปรุง ถือว่าได้ 😒,product,Negative,synthetic_wisesight_like,th
44f9b749-b170-4fb8-b616-67c67deca4c9,พนักงานไม่โอเคเลย,service,Negative,synthetic_wisesight_like,th
0c6fbdfd-54c7-429b-b3d4-1c0facaae8d6,การตอบกลับไม่ได้แย่ แต่ก็ไม่ได้ดีมาก,service,Neutral,synthetic_wisesight_like,th
a38fc3de-23be-4f62-8646-d082093cc688,ผิดหวังกับพนักงาน ถือว่าได้,service,Negative,synthetic_wisesight_like,th
0e4620ce-d5a7-4818-bc00-dbdd5cf82e74,ประสบการณ์โอเคเกินคาด,platform,Positive,synthetic_wisesight_like,th
09d4731d-4a5b-4ce2-9e92-0d368ae1b1af,ความคุ้มค่าดีมาก ประทับใจ,product,Positive,synthetic_wisesight_like,th
4b78bf06-087a-4879-b796-9141c9288067,แอปอยู่ในระดับปกติ,platform,Neutral,synthetic_wisesight_like,th
